Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7wBJfHzpfI3032CSD7CE2m,"STARGAZING","ASTROWORLD","Travis Scott",2018-08-03,270714,73,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack / Epic",0.487,0.789,8,-3.69,1,0.044,0.00947,0.00000405,0.189,0.0564,150.007,4
2xLMifQCjDGFmkHkpNLD9h,"SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,80,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack / Epic",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
11kDth1aKUEUMq9r1pqyds,"5% TINT","ASTROWORLD","Travis Scott",2018-08-03,196138,74,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack / Epic",0.712,0.481,4,-5.415,0,0.0487,0.173,0,0.241,0.062,140,4
27a1mYSG5tYg7dmEjWBcmL,"CAN'T SAY","ASTROWORLD","Travis Scott",2018-08-03,198408,78,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack / Epic",0.702,0.708,10,-5.366,0,0.0547,0.201,0,0.118,0.713,147.98,4
2cYqizR4lgvp4Qu6IQ3qGN,"BUTTERFLY EFFECT","ASTROWORLD","Travis Scott",2018-08-03,190557,80,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack / Epic",0.763,0.628,11,-5.85,1,0.05,0.0531,0,0.114,0.193,140.958,4
3eekarcy7kvN4yt5ZFzltW,"HIGHEST IN THE ROOM","HIGHEST IN THE ROOM","Travis Scott",2019-10-04,175720,84,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack/Epic",0.598,0.427,7,-8.764,0,0.0317,0.0546,0.00000583,0.21,0.0605,76.469,4
4kjI1gwQZRKNDkw1nI475M,"MY EYES","UTOPIA","Travis Scott",2023-07-28,251249,81,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack/Epic",0.455,0.621,0,-7.694,0,0.0517,0.651,0.00000259,0.123,0.28,119.043,4
42VsgItocQwOQC3XWZ8JNA,"FE!N (feat. Playboi Carti)","UTOPIA","Travis Scott,Playboi Carti",2023-07-28,191700,86,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,rage rap","Cactus Jack/Epic",0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,4
1fewSx2d5KIZ04wsooEBOz,"Space Cadet (feat. Gunna)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Gunna",2018-11-06,203266,77,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"melodic rap","Republic Records",0.901,0.464,5,-9.789,0,0.0645,0.368,0.0000182,0.238,0.638,109.004,4
0VgkVdmE4gld66l8iyGjgx,"Mask Off","FUTURE","Future",2017-06-30,204600,81,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Epic/Freebandz/A1",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
28drn6tQo95MRvO0jQEo5C,"Type Shit","WE DON'T TRUST YOU","Future,Metro Boomin,Travis Scott,Playboi Carti",2024-03-22,228266,83,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,rage rap","Wilburn Holding Co./Boominati/Epic/Republic",0.64,0.552,2,-5.679,1,0.129,0.0215,0,0.119,0.112,144.941,4
2tudvzsrR56uom6smgOcSf,"Like That","WE DON'T TRUST YOU","Future,Metro Boomin,Kendrick Lamar",2024-03-22,267706,83,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,hip hop,west coast hip hop","Wilburn Holding Co./Boominati/Epic/Republic",0.814,0.676,11,-4.67,0,0.231,0.00709,0.0000128,0.119,0.312,162.012,4
77DRzu7ERs0TX3roZcre7Q,"euphoria","euphoria","Kendrick Lamar",2024-04-30,383639,77,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.831,0.643,1,-5.002,1,0.11,0.046,0,0.084,0.142,139.948,4
6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,87,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)","King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock,Kendrick Lamar,Future,James Blake",2018-01-12,229670,68,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop,rap","Black Panther (TDE/DMG) PS",0.645,0.705,1,-5.008,1,0.299,0.000813,0,0.128,0.376,137.133,4
0nj9Bq5sHDiTxSHunhgkFb,"squabble up","GNX","Kendrick Lamar",2024-11-22,157992,88,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.874,0.672,0,-5.568,1,0.198,0.0206,0,0.0783,0.711,103.921,4
45J4avUb9Ni0bnETYaYFVJ,"luther (with sza)","GNX","Kendrick Lamar,SZA",2024-11-22,177598,90,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
5S8VwnB4sLi6W0lYTWYylu,"hey now (feat. dody6)","GNX","Kendrick Lamar,Dody6",2024-11-22,217478,83,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.806,0.358,10,-8.769,1,0.117,0.00443,0.00162,0.412,0.188,102.011,4
0aB0v4027ukVziUGwVGYpG,"tv off (feat. lefty gunplay)","GNX","Kendrick Lamar,Lefty Gunplay",2024-11-22,220690,91,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop,mexican hip hop","pgLang, under exclusive license to Interscope Records",0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
2Uts1QFB4u2YNIMiqcb4de,"peekaboo (feat. azchike)","GNX","Kendrick Lamar,AzChike",2024-11-22,155917,82,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop,hyphy","pgLang, under exclusive license to Interscope Records",0.889,0.298,1,-9.086,1,0.182,0.00306,0.0000126,0.173,0.314,100.042,4
6HZILIRieu8S0iqY8kIKhj,"DNA.","DAMN.","Kendrick Lamar",2017-04-14,185946,77,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Aftermath",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,4
1EaKU4dMbesXXd3BrLCtYG,"ELEMENT.","DAMN.","Kendrick Lamar",2017-04-14,208733,69,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Aftermath",0.748,0.705,4,-4.547,0,0.485,0.204,0,0.246,0.483,189.891,4
7KXjTSCq5nL1LoYtL7XAwS,"HUMBLE.","DAMN.","Kendrick Lamar",2017-04-14,177000,82,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Aftermath",0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4
3iVcZ5G6tvkXZkZKlMpIUs,"Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,79,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Aftermath",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
0yhMmqax6HRAZxI7udEask,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city","Kendrick Lamar",2012,310720,65,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Aftermath",0.586,0.698,1,-8.948,1,0.0943,0.0151,0,0.443,0.098,133.954,4
74tLlkN3rgVzRqQJgPfink,"Money Trees","good kid, m.A.A.d city","Kendrick Lamar,Jay Rock",2012,386906,77,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Aftermath",0.716,0.531,7,-7.355,1,0.157,0.0709,0,0.22,0.335,71.972,4
3VYzbU22BooAROigHHwycs,"Swimming Pools (Drank) - Extended Version","good kid, m.A.A.d city","Kendrick Lamar",2012,313786,61,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,west coast hip hop","Aftermath",0.669,0.485,6,-7.744,0,0.417,0.123,0.0000268,0.604,0.261,74.376,4
1lOe9qE0vR9zwWQAOk6CoO,"Ransom","We Love You Tecca","Lil Tecca",2019-08-30,131240,85,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"melodic rap,rap","Republic Records",0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
4rXLjWdF2ZZpXCVTfWcshS,"fukumean","a Gift & a Curse","Gunna",2023-06-16,125040,81,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"melodic rap","300 Entertainment",0.847,0.622,1,-6.747,0,0.0903,0.119,0,0.285,0.22,130.001,4
4Ls53fBNVfaXTROBi6X8Hw,"Just Wanna Rock","Pink Tape","Lil Uzi Vert",2023-06-30,123890,69,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"melodic rap","Generation Now/Atlantic",0.485,0.545,11,-7.924,1,0.0336,0.0651,0.00547,0.0642,0.0385,150.185,4
1auxYwYrFRqZP7t3s7w4um,"Ni**as In Paris","Watch The Throne","JAY-Z,Kanye West",2011-08-08,219333,79,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"hip hop,east coast hip hop,rap","Roc Nation/RocAFella/IDJ",0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,4
1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West,Jamie Foxx",2005-08-30,207626,78,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
6etwirSInfuJrSOlogS6Sh,"American Boy","Shine","Estelle,Kanye West",2008-03-28,284733,77,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Woah Dad!",0.693,0.729,0,-2.99,1,0.378,0.171,0,0.07,0.521,117.848,4
3DK6m7It6Pw857FcQftMds,"Runaway","My Beautiful Dark Twisted Fantasy","Kanye West,Pusha T",2010-11-22,547733,80,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Roc-A-Fella",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4
0nbXyq5TXYPCO7pr3N8S4I,"The Box","Please Excuse Me for Being Antisocial","Roddy Ricch",2019-12-06,196652,80,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"melodic rap","Atlantic Records",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4
75IN3CtuZwTHTnZvYM4qnJ,"My Name Is","The Slim Shady LP","Eminem",1999-02-23,268400,73,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,hip hop","Aftermath",0.869,0.68,1,-6.233,1,0.318,0.0416,0.00000112,0.0914,0.815,85.519,4
3UmaczJpikHgJFyBTAJVoz,"Stan","The Marshall Mathers LP","Eminem,Dido",2000-05-23,404106,78,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,hip hop","Interscope",0.78,0.768,6,-4.325,0,0.238,0.0371,0.00000234,0.518,0.507,80.063,4
3yfqSUWxFvZELEM4PmlwIR,"The Real Slim Shady","The Marshall Mathers LP","Eminem",2000-05-23,284200,84,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,hip hop","Interscope",0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,4
7lQ8MOhq6IN2w8EYcFNSUk,"Without Me","The Eminem Show","Eminem",2002-05-26,290320,86,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,hip hop","Aftermath",0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238,4
